"Var1";"Var2";"Freq"
"1";"(1,2]";"1992";0
"2";"(2,3]";"1992";10
"3";"(3,4]";"1992";0
"4";"(4,5]";"1992";0
"5";"(5,6]";"1992";20
"6";"(6,7]";"1992";10
"7";"(7,8]";"1992";40
"8";"(8,9]";"1992";10
"9";"(9,10]";"1992";0
"10";"(10,11]";"1992";10
"11";"(11,12]";"1992";0
"12";"(12,13]";"1992";0
"13";"(13,14]";"1992";0
"14";"(14,15]";"1992";0
"15";"(15,16]";"1992";0
"16";"(16,17]";"1992";0
"17";"(17,18]";"1992";0
"18";"(18,19]";"1992";0
"19";"(19,20]";"1992";0
"20";"(1,2]";"1993";17,8082191780822
"21";"(2,3]";"1993";31,5068493150685
"22";"(3,4]";"1993";12,3287671232877
"23";"(4,5]";"1993";2,73972602739726
"24";"(5,6]";"1993";1,36986301369863
"25";"(6,7]";"1993";1,36986301369863
"26";"(7,8]";"1993";2,73972602739726
"27";"(8,9]";"1993";6,84931506849315
"28";"(9,10]";"1993";4,10958904109589
"29";"(10,11]";"1993";8,21917808219178
"30";"(11,12]";"1993";6,84931506849315
"31";"(12,13]";"1993";1,36986301369863
"32";"(13,14]";"1993";1,36986301369863
"33";"(14,15]";"1993";1,36986301369863
"34";"(15,16]";"1993";0
"35";"(16,17]";"1993";0
"36";"(17,18]";"1993";0
"37";"(18,19]";"1993";0
"38";"(19,20]";"1993";0
"39";"(1,2]";"1994";7,14285714285714
"40";"(2,3]";"1994";9,34065934065934
"41";"(3,4]";"1994";2,1978021978022
"42";"(4,5]";"1994";7,69230769230769
"43";"(5,6]";"1994";9,34065934065934
"44";"(6,7]";"1994";13,1868131868132
"45";"(7,8]";"1994";23,0769230769231
"46";"(8,9]";"1994";9,89010989010989
"47";"(9,10]";"1994";4,3956043956044
"48";"(10,11]";"1994";2,74725274725275
"49";"(11,12]";"1994";4,94505494505495
"50";"(12,13]";"1994";2,1978021978022
"51";"(13,14]";"1994";1,64835164835165
"52";"(14,15]";"1994";1,64835164835165
"53";"(15,16]";"1994";0
"54";"(16,17]";"1994";0,549450549450549
"55";"(17,18]";"1994";0
"56";"(18,19]";"1994";0
"57";"(19,20]";"1994";0
"58";"(1,2]";"1995";21,7142857142857
"59";"(2,3]";"1995";16,5714285714286
"60";"(3,4]";"1995";8
"61";"(4,5]";"1995";10,8571428571429
"62";"(5,6]";"1995";3,42857142857143
"63";"(6,7]";"1995";2,85714285714286
"64";"(7,8]";"1995";4,57142857142857
"65";"(8,9]";"1995";9,71428571428571
"66";"(9,10]";"1995";10,8571428571429
"67";"(10,11]";"1995";4,57142857142857
"68";"(11,12]";"1995";2,85714285714286
"69";"(12,13]";"1995";1,71428571428571
"70";"(13,14]";"1995";1,14285714285714
"71";"(14,15]";"1995";1,14285714285714
"72";"(15,16]";"1995";0
"73";"(16,17]";"1995";0
"74";"(17,18]";"1995";0
"75";"(18,19]";"1995";0
"76";"(19,20]";"1995";0
"77";"(1,2]";"1996";0
"78";"(2,3]";"1996";4,25531914893617
"79";"(3,4]";"1996";2,12765957446809
"80";"(4,5]";"1996";6,38297872340426
"81";"(5,6]";"1996";8,51063829787234
"82";"(6,7]";"1996";4,25531914893617
"83";"(7,8]";"1996";4,25531914893617
"84";"(8,9]";"1996";0
"85";"(9,10]";"1996";19,1489361702128
"86";"(10,11]";"1996";36,1702127659575
"87";"(11,12]";"1996";10,6382978723404
"88";"(12,13]";"1996";2,12765957446809
"89";"(13,14]";"1996";2,12765957446809
"90";"(14,15]";"1996";0
"91";"(15,16]";"1996";0
"92";"(16,17]";"1996";0
"93";"(17,18]";"1996";0
"94";"(18,19]";"1996";0
"95";"(19,20]";"1996";0
"96";"(1,2]";"1997";5,55555555555556
"97";"(2,3]";"1997";0
"98";"(3,4]";"1997";0
"99";"(4,5]";"1997";0
"100";"(5,6]";"1997";0
"101";"(6,7]";"1997";0
"102";"(7,8]";"1997";5,55555555555556
"103";"(8,9]";"1997";0
"104";"(9,10]";"1997";16,6666666666667
"105";"(10,11]";"1997";22,2222222222222
"106";"(11,12]";"1997";22,2222222222222
"107";"(12,13]";"1997";16,6666666666667
