"fucus_zone..1.2.5.";"high_beatch..1.2.5.";"low_beatch..1.2.5.";"zostera_zone..1.2.5.";"fucus_zone..2.5.7.9.";"high_beatch..2.5.7.9.";"low_beatch..2.5.7.9.";"zostera_zone..2.5.7.9.";"fucus_zone..7.9.24.";"high_beatch..7.9.24.";"low_beatch..7.9.24.";"zostera_zone..7.9.24."
"1992";0;0;3,57142857142857;2,7027027027027;70;31,8181818181818;60,7142857142857;70,2702702702703;30;68,1818181818182;35,7142857142857;27,027027027027
"1993";10,7142857142857;3,63636363636364;22,0338983050847;8,64197530864197;53,5714285714286;89,0909090909091;40,6779661016949;24,6913580246914;35,7142857142857;7,27272727272727;37,2881355932203;66,6666666666667
"1994";17,4496644295302;10,3896103896104;8,60215053763441;17,6470588235294;53,0201342281879;68,8311688311688;48,3870967741936;38,562091503268;29,5302013422819;20,7792207792208;43,010752688172;43,7908496732026
"1995";23,8095238095238;14,8760330578512;16,4705882352941;27,2727272727273;39,1534391534392;47,9338842975207;37,6470588235294;41,8181818181818;37,037037037037;37,1900826446281;45,8823529411765;30,9090909090909
"1996";1,94805194805195;7,52688172043011;6,89655172413793;8,13953488372093;48,0519480519481;52,6881720430108;33,9080459770115;53,4883720930233;50;39,7849462365591;59,1954022988506;38,3720930232558
"1997";19,4444444444444;19,3548387096774;19,8863636363636;23,0769230769231;29,8611111111111;25,8064516129032;14,2045454545455;18,8034188034188;50,6944444444444;54,8387096774194;65,9090909090909;58,1196581196581
"1998";59,4545454545455;61,2676056338028;37,0558375634518;70,7920792079208;27,2727272727273;33,0985915492958;18,2741116751269;9,40594059405941;13,2727272727273;5,63380281690141;44,6700507614213;19,8019801980198
"1999";70,4749679075738;91,7127071823204;61,9537275064267;56,1330561330561;20,795892169448;8,01104972375691;23,1362467866324;32,4324324324324;8,72913992297818;0,276243093922652;14,9100257069409;11,4345114345114
"2000";47,0108695652174;17,0454545454545;42,7509293680297;47,0725995316159;40,2173913043478;74,4318181818182;37,9182156133829;38,6416861826698;12,7717391304348;8,52272727272727;19,3308550185874;14,2857142857143
"2002";36,6153846153846;13,2352941176471;33,3333333333333;27,027027027027;42,1538461538462;64,7058823529412;38,8888888888889;49,8498498498498;21,2307692307692;22,0588235294118;27,7777777777778;23,1231231231231
"2004";32,7669902912621;60,7142857142857;NA;35,973597359736;41,504854368932;24,6428571428571;NA;35,3135313531353;25,7281553398058;14,6428571428571;NA;28,7128712871287
